,season,rank,rate,alias,id,pokemon,form,type1,type2,category,terastal,item,ability,move-1,move-2,move-3,move-4
0,28,1,2181.308,コライドン,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,とつげきチョッキ,ひひいろのこどう,フレアドライブ,ドレインパンチ,ニトロチャージ,とんぼがえり
1,28,1,2181.308,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,でんき,いのちのたま,わざわいのつるぎ,つららおとし,テラバースト,ふいうち,ちょうはつ
2,28,1,2181.308,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ,こだいかっせい,ムーンフォース,シャドーボール,ドレインキッス,ほろびのうた
3,28,1,2181.308,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,どく,オボンのみ,わざわいのうつわ,じしん,カタストロフィ,ふきとばし,ステルスロック
4,28,1,2181.308,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,ほのお,たべのこし,てんねん,ウェーブタックル,ゆきなだれ,あくび,まもる
5,28,1,2181.308,グライオン,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,ポイズンヒール,じしん,どくどく,まもる,みがわり
6,28,3,2161.191,ザシアン(けんのおう),0888-001,ザシアン,けんのおう,フェアリー,はがね,禁止伝説,フェアリー,くちたけん,,,,,
7,28,3,2161.191,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,ノーマル,たべのこし,,,,,
8,28,3,2161.191,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,,,,,
9,28,3,2161.191,ガチグマ(アカツキ),0901-01,ガチグマ,アカツキ,じめん,ノーマル,一般,ノーマル,するどいツメ,,,,,
10,28,3,2161.191,イーユイ,1004-00,イーユイ,,あく,ほのお,準伝説,ゴースト,こだわりスカーフ,,,,,
11,28,3,2161.191,タケルライコ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,こおり,とつげきチョッキ,,,,,
12,28,6,2146.931,ザシアン(けんのおう),0888-001,ザシアン,けんのおう,フェアリー,はがね,禁止伝説,かくとう,くちたけん,,,,,
13,28,6,2146.931,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,ゴツゴツメット,,,,,
14,28,6,2146.931,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ステラ,きあいのタスキ,,,,,
15,28,6,2146.931,ガチグマ(アカツキ),0901-01,ガチグマ,アカツキ,じめん,ノーマル,一般,ノーマル,とつげきチョッキ,,,,,
16,28,6,2146.931,キョジオーン,0934-00,キョジオーン,,いわ,,一般,ゴースト,たべのこし,,,,,
17,28,6,2146.931,オーガポン(いど),1017-01,オーガポン,いどのめん,くさ,みず,準伝説,みず,いどのめん,,,,,
18,28,7,2146.461,バドレックス(こくば),0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,かくとう,たべのこし,じんばいったい,アストラルビット,テラバースト,みがわり,まもる
19,28,7,2146.461,グライオン,0472-00,グライオン,,じめん,ひこう,一般,みず,きあいのタスキ,ポイズンヒール,じならし,はたきおとす,どくびし,ちょうはつ
20,28,7,2146.461,ドヒドイデ,0748-00,ドヒドイデ,,どく,みず,一般,はがね,おんみつマント,さいせいりょく,まとわりつく,どくびし,くろいきり,じこさいせい
21,28,7,2146.461,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,ゴツゴツメット,マルチスケイル,ドラゴンテール,しんそく,じしん,はねやすめ
22,28,7,2146.461,ミミッキュ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ノーマル,いのちのたま,ばけのかわ,じゃれつく,かげうち,のろい,こらえる
23,28,7,2146.461,ガチグマ(アカツキ),0901-01,ガチグマ,アカツキ,じめん,ノーマル,一般,どく,オボンのみ,しんがん,ブラッドムーン,だいちのちから,めいそう,つきのひかり
24,28,8,2142.985,バドレックス(はくば),0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,でんき,たべのこし,じんばいったい,ブリザードランス,テラバースト,のろい,トリックルーム
25,28,8,2142.985,ガチグマ(アカツキ),0901-01,ガチグマ,アカツキ,じめん,ノーマル,一般,ノーマル,とつげきチョッキ,しんがん,ブラッドムーン,ハイパーボイス,だいちのちから,しんくうは
26,28,8,2142.985,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,おんみつマント,マルチスケイル,アイアンヘッド,ドラゴンテール,りゅうのまい,はねやすめ
27,28,8,2142.985,オーガポン(いしずえ),1017-03,オーガポン,いしずえのめん,くさ,いわ,準伝説,いわ,いしずえのめん,がんじょう,ツタこんぼう,くさわけ,はたきおとす,まきびし
28,28,8,2142.985,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ほのお,ブーストエナジー,こだいかっせい,ムーンフォース,マジカルフレイム,あまえる,ちょうはつ
29,28,8,2142.985,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,フェアリー,パンチグローブ,ふかしのこぶし,すいりゅうれんだ,きあいパンチ,みがわり,ビルドアップ
30,28,9,2142.816,バドレックス(こくば),0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,くさ,こだわりメガネ,,,,,
31,28,9,2142.816,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,ほのお,とつげきチョッキ,,,,,
32,28,9,2142.816,ハッサム,0212-00,ハッサム,,むし,はがね,一般,ひこう,オボンのみ,,,,,
33,28,9,2142.816,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,,,,,
34,28,9,2142.816,オオニューラ,0903-00,オオニューラ,,かくとう,どく,一般,ステラ,こだわりスカーフ,,,,,
35,28,9,2142.816,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし,,,,,
36,28,10,2142.548,ミライドン,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,こおり,じゃくてんほけん,ハドロンエンジン,パラボラチャージ,テラバースト,めいそう,こうそくいどう
37,28,10,2142.548,オーロンゲ,0861-00,オーロンゲ,,あく,フェアリー,一般,ほのお,ひかりのねんど,いたずらごころ,ソウルクラッシュ,ちょうはつ,リフレクター,ひかりのかべ
38,28,10,2142.548,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,わざわいのつるぎ,ぜったいれいど,つららおとし,ふいうち,せいなるつるぎ
39,28,10,2142.548,オーガポン(かまど),1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,かたやぶり,ツタこんぼう,ウッドホーン,くさわけ,つるぎのまい
40,28,10,2142.548,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,パンチグローブ,ふかしのこぶし,すいりゅうれんだ,きあいパンチ,つるぎのまい,みがわり
41,28,10,2142.548,テツノワダチ,0990-00,テツノワダチ,,じめん,はがね,パラドックス,じめん,とつげきチョッキ,クォークチャージ,じしん,はたきおとす,こうそくスピン,がむしゃら
42,28,12,2131.528,カイオーガ,0382-00,カイオーガ,,みず,,禁止伝説,でんき,とつげきチョッキ,あめふらし,しおふき,なみのり,かみなり,れいとうビーム
43,28,12,2131.528,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,はがね,メトロノーム,ふかしのこぶし,すいりゅうれんだ,きあいパンチ,アイアンヘッド,みがわり
44,28,12,2131.528,ブリジュラス,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ノーマル,ジャポのみ,がんじょう,りゅうせいぐん,ラスターカノン,メタルバースト,ステルスロック
45,28,12,2131.528,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ステラ,いのちのたま,わざわいのつるぎ,つららおとし,かみくだく,こおりのつぶて,つるぎのまい
