,season,rank,rate,alias,id,pokemon,form,type1,type2,category,terastal,item
0,20,1,2194.657,コライドン,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,こだわりスカーフ
1,20,1,2194.657,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ
2,20,1,2194.657,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,あく,おんみつマント
3,20,1,2194.657,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ
4,20,1,2194.657,ランドロス(れいじゅう),0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,はがね,とつげきチョッキ
5,20,1,2194.657,キョジオーン,0934-00,キョジオーン,,いわ,,一般,ゴースト,たべのこし
6,20,2,2164.897,カイオーガ,0382-00,カイオーガ,,みず,,禁止伝説,でんき,せんせいのツメ
7,20,2,2164.897,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,パンチグローブ
8,20,2,2164.897,ゴチルゼル,0576-00,ゴチルゼル,,エスパー,,一般,ゴースト,ふうせん
9,20,2,2164.897,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,きあいのタスキ
10,20,2,2164.897,ベトベトン(アローラ),0089-01,ベトベトン,アローラのすがた,どく,あく,一般,ドラゴン,たべのこし
11,20,2,2164.897,オオニューラ,0903-00,オオニューラ,,かくとう,どく,一般,かくとう,ノーマルジュエル
12,20,3,2163.665,バドレックス(こくば),0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,くさ,ラムのみ
13,20,3,2163.665,テツノワダチ,0990-00,テツノワダチ,,じめん,はがね,パラドックス,ノーマル,ブーストエナジー
14,20,3,2163.665,オーロンゲ,0861-00,オーロンゲ,,あく,フェアリー,一般,ほのお,ひかりのねんど
15,20,3,2163.665,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,あつぞこブーツ
16,20,3,2163.665,ラウドボーン,0911-00,ラウドボーン,,ほのお,ゴースト,一般,どく,オボンのみ
17,20,3,2163.665,キョジオーン,0934-00,キョジオーン,,いわ,,一般,ゴースト,たべのこし
18,20,4,2151.143,ホウオウ,0250-00,ホウオウ,,ほのお,ひこう,禁止伝説,フェアリー,ゴツゴツメット
19,20,4,2151.143,ラッキー,0113-00,ラッキー,,ノーマル,,一般,はがね,しんかのきせき
20,20,4,2151.143,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,ほのお,たべのこし
21,20,4,2151.143,グライオン,0472-00,グライオン,,じめん,ひこう,一般,フェアリー,どくどくだま
22,20,4,2151.143,ヤドラン,0080-00,ヤドラン,,みず,エスパー,一般,はがね,おんみつマント
23,20,4,2151.143,ベトベトン(アローラ),0089-01,ベトベトン,アローラのすがた,どく,あく,一般,どく,くろいヘドロ
24,20,5,2148.844,コライドン,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,いかさまダイス
25,20,5,2148.844,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ステラ,きあいのタスキ
26,20,5,2148.844,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,ゴースト,たべのこし
27,20,5,2148.844,グライオン,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま
28,20,5,2148.844,アシレーヌ,0730-00,アシレーヌ,,みず,フェアリー,一般,ほのお,ゴツゴツメット
29,20,5,2148.844,ゴリランダー,0812-00,ゴリランダー,,くさ,,一般,ノーマル,とつげきチョッキ
